JobID,Job Title,Company,Recruiter,Industry,Role,Seniority,SalaryMin,SalaryMax,SalaryPeriod,ContractType,ContractLength (Months),Location,Remote,Office Days,PostedOn,Link
48,Lead Insight Analyst,Burns Sheehan,TRUE,Retail,Insights Analyst,Lead,85000,105000,Annual,,,London,On-site,,Dec-24,https://www.linkedin.com/jobs/view/4098241834/
81,Data Insights Analyst - Diversity Data Analyst ,Intec Select,TRUE,,Data Analyst,Base,,300,Daily,Contract,6 Months,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4104200772/
49,Lead Machine Learning Scientist,Monzo Bank,FALSE,Finance,Data Scientist,Lead,110000,140000,Annual,,,London,Remote,,Feb-25,https://www.linkedin.com/jobs/view/3956313564/
123,Data Analyst Team Lead,Allianz UK,FALSE,Finace,Data Analyst,Lead,,54000,Annual,,,Guildford,Hybrid,2,Feb-25,https://www.linkedin.com/jobs/view/4169908910/
138,Lead Performance Analyst,Pension Protection Fund,FALSE,Government,Data Analyst,Lead,55000,60000,Annual,Permanent,,Croydon,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4157789551/
50,Lead Price Comparison Analyst,Harnham,TRUE,Finance,Data Analyst,Lead,60000,65000,Annual,,,United Kingdom,Remote,,Jan-25,https://www.linkedin.com/jobs/view/4102344348/
99,Machine Leaning Manager - Operations,Monzo Bank,FALSE,Finance,Data Scientist,Manager,115000,130000,Annual,,,London,Remote,,Feb-25,https://www.linkedin.com/jobs/view/4142827610/
221,Machine Learning Consultant,CipherTek Recruitment,TRUE,Finance,Data Scientist,Consultant,60,120,Hourly,Contract,12,United Kingdom,Remote,,Apr-24,https://www.linkedin.com/jobs/view/4184891464/
19,Data Analyst Specialist,Datatech Analytics,TRUE,Consulting,Data Analyst,Base,45000,60000,Annual,Permanent,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4102040051/
110,Marketing Effectiveness Senior Consultant - Econometrics,Silverdrum,TRUE,Marketing,Data Analyst,Senior,60000,70000,Annual,,,London,Hybrid,3,Feb-25,https://www.linkedin.com/jobs/view/4144119350/
202,Performance Analyst,UK Health Security Agency,FALSE,Government,Data Analyst,Base,,31997,Annual,,,United Kingdom,On-site,,Apr-24,https://www.linkedin.com/jobs/view/4195237226/
121,PowerBI Developer,Quant Capital,TRUE,Technology,BI Analyst,Base,55000,60000,Annual,,,London,Hybrid,1,Feb-25,https://www.linkedin.com/jobs/view/4165411518/
111,Pricing Analyst,The AA,FALSE,Retail,Data Analyst,Base,,45000,Annual,Permanent,,Basingstoke,Hybrid,2,Feb-25,https://www.linkedin.com/jobs/view/4139943493/
106,Principal Researcher,Walsh Employment,TRUE,Research,Quantitative Analyst,Base,60000,64000,Annual,,,Slough,On-site,,Dec-24,https://www.linkedin.com/jobs/view/4092575611/
113,Product Analyst,RedCar Digital,TRUE,Finance,Product Analyst,Base,50000,60000,Annual,,,London,Hybrid,3,Nov-24,https://www.linkedin.com/jobs/view/4087254034/
114,Product Analyst,Burns Sheehan,TRUE,Finance,Product Analyst,Base,50000,70000,Annual,,,London,Hybrid,1,Nov-24,https://www.linkedin.com/jobs/view/4080035511/
112,Provisioning and Forecasting Lead - Borrowing,Monzo Bank,FALSE,Finance,Data Scientist,Lead,92500,125000,Annual,,,London,Remote,,Feb-25,https://www.linkedin.com/jobs/view/4074290696/
15,Data Analyst - Subscriptions,Evermore,TRUE,Technology,Data Analyst,Base,50000,70000,Annual,Permanent,,London,No,,Dec-24,https://www.linkedin.com/jobs/view/4061889848/
1,Data Analyst,Formula Recruitment,TRUE,E-Commerce,Data Analyst,Base,50000,60000,Annual,Permanent,,London,Hybrid,2,Feb-25,https://www.linkedin.com/jobs/view/4138915701/
2,Data Analyst,Henderson Scott,TRUE,,Data Analyst,Base,,35000,Annual,,,Birmingham ,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4102961924/
3,Data Analyst,Intellect Group,FALSE,HR,Data Analyst,Base,50000,65000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4091845633/
20,Data Scientist - Analytics – Integrity,Principle,FALSE,Technology,Data Scientist,Base,115000,125000,Annual,Contract,12 Months,London,Remote,,Feb-25,https://www.linkedin.com/jobs/view/4145040406/
104,Quantitative Analyst,Spectrum IT Recruitment,TRUE,Finance,Quantitative Analyst,Base,60000,80000,Annual,,,London,On-site,,Dec-24,https://www.linkedin.com/jobs/view/4097321508/
105,Quantitative Analyst,Understanding Recruitment,TRUE,Sports,Quantitative Analyst,Base,60000,80000,Annual,,,St Albans,Hybrid,2,Feb-25,https://www.linkedin.com/jobs/view/4141105228/
107,Quantitative Analyst - Sports,Source Technology,TRUE,Sports,Quantitative Analyst,Base,35000,60000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4088239653/
4,Data Analyst,Mane Contract Services,TRUE,,Data Analyst,Base,20.18,26.61,Hourly,Contract,,Woking,No,,Jan-25,https://www.linkedin.com/jobs/view/4121347750/
102,Quantitative Researcher,Aquatic Capital Management,FALSE,Finance,Quantitative Analyst,Base,120000,160000,Annual,,,London,On-site,,Nov-24,https://www.linkedin.com/jobs/view/4079660775/
108,Quantitative Researcher,Anson McCade,TRUE,Finance,Quantitative Analyst,Base,110000,120000,Annual,,,London,On-site,,Nov-24,https://www.linkedin.com/jobs/view/4084136752/
5,Data Analyst,Netwrix Corporation,FALSE,,Data Analyst,Base,50000,120000,Annual,,,,Yes,,Dec-24,https://www.linkedin.com/jobs/view/4058441140/
6,Data Analyst,Opus Recruitment Solutions,TRUE,Finance,Data Analyst,Base,35000,40000,Annual,,,London,No,,Dec-24,https://www.linkedin.com/jobs/view/4105412866/
206,Research and Health Data Lead,Macmillan Cancer Support,FALSE,Voluntary,Quantitative Analyst,Lead,74000,82000,Annual,Contract,13,London,Hybrid,,Apr-24,https://www.linkedin.com/jobs/view/4197555062/
137,Route Performance Analyst,Network Rail,FALSE,Transportation,Data Scientist,Lead,35582,40367,Annual,Permanent,,Basingstoke,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4157671848/
7,Data Analyst,Opus Recruitment Solutions,TRUE,,Data Analyst,Base,50000,60000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4088718767/
142,Senior AI Specialist,Jisc,FALSE,Academia,Data Scientist,Senior,43000,,Annual,Permanent,,London,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4143187368/
